UB Account Number,Service File Number,Acct Status,,UB Address,Zip (Lot),H.S. Service,UB Mapped - Private Side Verification Method,UB Mapped - Public Side Verification Method,H.S. Verification Method,S.S. Service,UB Private Side,UB Utility Side,UB SL Category,S.S. Verification Method,S.S. Previously Lead?,UB Account Type,
003388-000,6463,Active,,673 S FIFTH AV,10550,Copper,Records,Records,Records,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003389-000,6461,Active,,671 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003390-000,6462,Active,,669 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003391-000,5444,Active,,667 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003392-000,5822,Active,,663 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003393-000,5821,Active,,659 S FIFTH AV,10550,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
003394-000,5820,Active,,657 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003395-000,5819,Active,,653 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003396-000,5591,Active,,641 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003397-000,5481,Active,,639 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003398-000,6405,Active,,637 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003399-000,5663,Active,,635 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003400-000,5664,Active,,633 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003401-000,5662,Active,,629 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003402-000,5634,Active,,625 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003403-000,5706,Active,,623 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003404-000,5707,Active,,619 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003405-000,5705,Active,,617 S FIFTH AV,10550,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003406-000,5704,Active,,613 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003407-000,12605,Active,,611 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003408-000,12604,Active,,609 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003409-000,4682,Active,,607 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003410-000,4681,Active,,605 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003411-000,4680,Active,,603 S FIFTH AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
003412-000,4679,Active,,601 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003413-000,4586,Active,,561 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003414-000,4518,Active,,559 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003415-000,4585,Active,,557 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003416-000,4587,Active,,555 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003417-000,4521,Active,,553 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003418-000,1754,Active,,551 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003419-000,2774,Active,,543 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003420-000,7526,Active,,541 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003421-000,11613,Active,,531 S FIFTH AV,10550,Copper,Customer Identification with Photo or Other Verification,Not Verified,Customer ID with Photo or Other Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
003422-000,5862,Active,,519 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003423-000,9821,Active,,513 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003424-000,7674,Active,,509 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003425-000,7494,Active,,501 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003426-000,5756,Active,,469 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003427-000,11328,Active,,471 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003428-000,10719,Active,,467 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003429-000,3748,Delete,,463 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003430-000,3215,Delete,,461 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003431-000,3246,Active,,459 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003432-000,3214,Active,,457 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003433-000,7020,Active,,449 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003434-000,3349,Active,,447 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003435-000,3326,Active,,445 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003436-000,11734,Active,,441 S FIFTH AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
003437-000,3335,Active,,439 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003438-000,3305,Active,,437 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003439-000,11713,Active,,435 S FIFTH AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
003440-000,1862,Active,,431 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003441-000,1863,Active,,429 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003442-000,2002,Active,,425 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003443-000,10864,Delete,,417 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003444-000,12652,Active,,413 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003445-000,3328,Active,,411 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003446-000,1432,Active,,409 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003447-000,2167,Delete,,405 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003448-000,2199,Active,,363 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003449-000,3145,Active,,361 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003450-000,3146,Active,,359 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003451-000,1332,Active,,353 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003452-000,2518,Suspended,,349 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003453-000,12521,Active,,343 S FIFTH AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
003454-000,4245,Active,,341 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003455-000,2843,Active,,339 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003456-000,2842,Active,,337 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003457-000,8222,Active,,333 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003458-000,2825,Active,,327 S FIFTH AV,10550,Copper,Records,Records,Records,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003459-000,1799,Active,,321 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003460-000,4092,Active,,317 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003461-000,4237,Active,,315 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003462-000,1390,Active,,259 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003463-000,2384,Active,,255 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003464-000,4602,Active,,251 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003465-000,224,Active,,247 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003466-000,1806,Active,,245 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003467-000,981,Active,,241 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003468-000,101,Active,,239 S FIFTH AV,10550,Copper,Customer Identification with Photo or Other Verification,Records,Customer ID with Photo or Other Verification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003469-000,1311,Active,,237 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003470-000,1310,Active,,235 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003471-000,6027,Active,,233 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003472-000,3164,Active,,231 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003473-000,394,Active,,227 S FIFTH AV,10550,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
003474-000,1921,Active,,223 S FIFTH AV,10550,Lead,Other,Records,Other,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
003475-000,1822,Active,,215 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003476-000,1296,Active,,213 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003477-000,795,Active,,209 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003478-000,2453,Delete,,207 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003479-000,1889,Delete,,205 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003480-000,8550,Delete,,159 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003481-000,2980,Active,,153 S FIFTH AV,10550,Lead,Customer Identification with Photo or Other Verification,Records,Customer ID with Photo or Other Verification,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
003483-000,12578,Active,,149 S FIFTH AV,10550,Copper,Field Inspection,Records,Onsite Verification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003484-000,1369,Active,,145 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003485-000,7257,Active,,141 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003486-000,9030,Active,,137 S FIFTH AV,10550,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
003487-000,2775,Active,,133 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003488-000,1312,Delete,,129 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003489-000,3001,Active,,125 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003490-000,5811,Active,,115 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003491-000,1100,Active,,115 W SECOND ST,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003492-000,2961,Active,,71 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003493-000,1099,Delete,,67 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003494-000,2391,Active,,57 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003495-000,4212,Active,,47 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003496-000,2076,Suspended,,37 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003497-000,63,Active,,33 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003498-000,11145,Active,,15 S FIFTH AV,10550,Cast Iron,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
003500-000,4305,Active,,9 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003501-000,70,Suspended,,7 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003502-000,2008,Active,,5 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003503-000,7590,Active,,5 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003504-000,4360,Active,,1 S FIFTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003505-000,1025,Active,,6 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003506-000,100,Active,,8 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003507-000,7244,Active,,8 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003508-000,2431,Active,,10 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003509-000,2405,Active,,14 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003510-000,9838,Active,,16 FOURTH AV,10550,Copper,Customer Identification with Photo or Other Verification,Records,Customer Identification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003513-000,9504,Delete,,18 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Plastic,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003514-000,3418,Delete,,20 FOURTH AV,10550,Copper,Field Inspection,Excavation,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Excavation,Yes,Billable,1
003515-000,3419,Active,,22 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003516-000,17,Active,,24 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003517-000,9496,Active,,26 FOURTH AV,10550,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
003518-000,14,Active,,26 1/2 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003519-000,16,Active,,28 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003520-000,119,Active,,30 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003521-000,6,Active,,32 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003522-000,9929,Active,,40 FOURTH AV,10550,Brass,Records,Records,Records,Brass,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003523-000,8,Active,,42 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003525-000,2118,Active,,48 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003526-000,735,Active,,50 FOURTH AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
003527-000,76,Active,,52 FOURTH AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
003528-000,2439,Active,,54 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003529-000,5,Active,,58 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003530-000,2250,Active,,60 FOURTH AV,10550,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
003531-000,25,Active,,62 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003532-000,13,Active,,64 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003533-000,6819,Active,,64 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003534-000,475,Active,,66 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003535-000,2430,Active,,68 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003536-000,6028,Active,,72 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003537-000,10025,Active,,102 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003540-000,970,Active,,104 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003541-000,969,Active,,106 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003542-000,891,Active,,108 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003543-000,1343,Active,,110 FOURTH AV,10550,Cast Iron,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003544-000,1334,Delete,,116 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003545-000,749,Active,,118 FOURTH AV,10550,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
003546-000,8548,Active,,118 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003547-000,750,Active,,120 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003548-000,830,Active,,124 S FOURTH AV,10550,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
003549-000,2433,Active,,126 FOURTH AV,10550,Copper,Field Inspection,Records,Onsite Verification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003550-000,498,Active,,130 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003551-000,605,Active,,132 FOURTH AV,10550,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
003552-000,2654,Delete,,134 FOURTH AV,10550,Brass,Records,Records,Records,Brass,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
003553-000,2562,Delete,,136 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003554-000,2335,Delete,,138 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003555-000,2454,Delete,,138 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003556-000,2480,Delete,,140 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003557-000,501,Delete,,142 FOURTH AV,10550,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
003558-000,5940,Active,,144 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003559-000,1657,Active,,146 FOURTH AV,10550,Lead,Field Inspection,Records,Onsite Verification,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
003560-000,2935,Active,,150 FOURTH AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
003561-000,531,Delete,,152 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003562-000,215,Active,,154 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003563-000,3181,Active,,156 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003564-000,1861,Active,,158 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003565-000,1814,Active,,160 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
003566-000,103,Delete,,162 FOURTH AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
003567-000,69,Delete,,202 FOURTH AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
003568-000,11287,Active,,204 FOURTH AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
